Geography,Year,Sex,Age,Drug Type,Dispensation Rate,Total Dispensation,Unique Dispensation,Total Population,Standard Error,Standard Score,Alberta Rate
Z2,2010,BOTH,ALL,ANY ANTIMICROBIALS,261.79634675,649523.0,362626.0,1385145.3792,0.4347445158,-42.08449968,280.09235218
Z2,2010,BOTH,ALL,BETA-L-PENICILLIN,96.033240983,172364.0,133020.0,1385145.3792,0.26330743,-7.867159396000001,98.10472250500001
Z2,2010,BOTH,ALL,BETA-L-RESISTANT-PENICILLIN,3.8140400850000002,6060.0,5283.0,1385145.3792,0.0524740939,-43.07998376,6.0746231961
Z2,2010,BOTH,ALL,BETA-L-SENSITIVE-PENICILLIN,15.871980176000001,24748.0,21985.0,1385145.3792,0.1070453675,-18.70689744,17.874466887
Z2,2010,BOTH,ALL,CARBAPENEMS,0.072194588,281.0,100.0,1385145.3792,0.0072194588,2.9853528677000005,0.050641956
Z2,2010,BOTH,ALL,COMBINATION PENICILLIN,8.209968549500001,13355.0,11372.0,1385145.3792,0.0769880054,-50.85070927,12.124863228
Z2,2010,BOTH,ALL,COMBINATION SULFONAMIDES & TRIMETHORPIM,16.481302499,34822.0,22829.0,1385145.3792,0.1090807428,-27.01411991,19.428022764
Z2,2010,BOTH,ALL,FIRST-G-CEPHALOSPORINS,32.759738205000005,56559.0,45377.0,1385145.3792,0.15378802960000001,-16.17724738,35.247605204
Z2,2010,BOTH,ALL,FLUOROQUINOLONES,47.143065976,87657.0,65300.0,1385145.3792,0.18448507330000002,-45.71608461,55.577001195
Z2,2010,BOTH,ALL,FOURTH-G-CEPHALOSPORINS,0.0050536212,16.0,7.0,1385145.3792,0.0019100893,1.5235132553,0.0021435749
Z2,2010,BOTH,ALL,GLYCOPEPTIDE ANTIBACTERIALS,0.1884278747,699.0,261.0,1385145.3792,0.0116633926,5.5418203579,0.123791448
Z2,2010,BOTH,ALL,IMIDAZOLE DERIVATIVES,0.39995801760000005,643.0,554.0,1385145.3792,0.0169925879,1.7925051771000002,0.36949871590000005
Z2,2010,BOTH,ALL,INTERMEDIATE-ACTING SULFONAMIDES,0.0,0.0,0.0,1385145.3792,0.0014438876,0.0,0.0
Z2,2010,BOTH,ALL,LINCOSAMIDES,11.766995901000001,20478.0,16299.0,1385145.3792,0.0921690524,-62.618259370000004,17.538461528
Z2,2010,BOTH,ALL,MACROLIDES,74.018223312,128031.0,102526.0,1385145.3792,0.2311647711,-13.104763000000002,77.04758285
