Geography,Year,Sex,Drug Type,Dispensation Rate,Total Dispensation,Unique Dispensation,Total Population,Standard Error,Standard Score,Alberta Rate
Z2,2010,BOTH,ANY ANTIMICROBIALS,268.41478172,649214.0,362371.0,1385145.3792,0.4586646566,-35.860266710000005,284.86261864
Z2,2010,BOTH,BETA-L-PENICILLIN,96.176978528,172205.0,132871.0,1385145.3792,0.27056050210000004,-2.2289679340000004,96.78004921200001
Z2,2010,BOTH,BETA-L-RESISTANT-PENICILLIN,3.9344159844,6056.0,5279.0,1385145.3792,0.0558431582,-42.52596922,6.309200409300001
Z2,2010,BOTH,BETA-L-SENSITIVE-PENICILLIN,15.739586623000001,24748.0,21985.0,1385145.3792,0.1085821346,-16.903079260000002,17.57495905
Z2,2010,BOTH,CARBAPENEMS,0.0830464628,279.0,99.0,1385145.3792,0.0086301881,2.9675531274000004,0.057435921
Z2,2010,BOTH,COMBINATION PENICILLIN,8.4826527169,13345.0,11363.0,1385145.3792,0.0820149665,-45.50568763,12.214800165000002
Z2,2010,BOTH,COMBINATION SULFONAMIDES & TRIMETHORPIM,17.709554514,34808.0,22818.0,1385145.3792,0.1211653697,-20.56409523,20.201210715000002
Z2,2010,BOTH,FIRST-G-CEPHALOSPORINS,34.496513369,56525.0,45347.0,1385145.3792,0.1672303803,-12.747109720000001,36.628217375
Z2,2010,BOTH,FLUOROQUINOLONES,53.168945019,87657.0,65300.0,1385145.3792,0.21508382680000002,-39.18171365,61.596297931
Z2,2010,BOTH,FOURTH-G-CEPHALOSPORINS,0.0040882752,16.0,7.0,1385145.3792,0.0015530894,1.4009853190000001,0.0019124196
Z2,2010,BOTH,GLYCOPEPTIDE ANTIBACTERIALS,0.20793871330000002,699.0,261.0,1385145.3792,0.0132871524,5.1643179106,0.1393196341
Z2,2010,BOTH,IMIDAZOLE DERIVATIVES,0.4117444186,643.0,554.0,1385145.3792,0.0181029108,2.1263268322,0.37325171360000003
Z2,2010,BOTH,INTERMEDIATE-ACTING SULFONAMIDES,0.0,0.0,0.0,1385145.3792,0.0014438876,0.0,0.0
Z2,2010,BOTH,LINCOSAMIDES,12.319872123000001,20478.0,16299.0,1385145.3792,0.0992934936,-58.600263410000004,18.138497001
Z2,2010,BOTH,MACROLIDES,74.60401985400001,127999.0,102496.0,1385145.3792,0.23897615840000003,-12.46564098,77.583010847
Z2,2010,BOTH,NITROFURAN DERIVATIVES,14.688892141000002,26362.0,18759.0,1385145.3792,0.1112861299,2.8306044280000004,14.373885129000001
Z2,2010,BOTH,OTHER AMINOGLYCOSIDES,0.1974420704,647.0,254.0,1385145.3792,0.0128227788,3.7494844029000003,0.1493632613
Z2,2010,BOTH,OTHER ANTIBACTERIALS,0.0742447429,316.0,83.0,1385145.3792,0.0083937724,1.2920716848000002,0.0633993873
Z2,2010,BOTH,OTHER CEPHALOSPORINS,0.0,0.0,0.0,1385145.3792,0.0014438876,0.0,0.0
Z2,2010,BOTH,POLYMYXINS,0.0065812516,39.0,9.0,1385145.3792,0.002236473,0.7450897366000001,0.0049148785
Z2,2010,BOTH,SECOND-G-CEPHALOSPORINS,16.385453916,26811.0,22617.0,1385145.3792,0.11172030660000001,-0.167777441,16.404198063000003
Z2,2010,BOTH,STEROID ANTIBACTERIALS,0.0,0.0,0.0,1385145.3792,0.0014438876,-0.213676753,3.085252E-4
Z2,2010,BOTH,STREPTOMYCIN,0.0,0.0,0.0,1385145.3792,0.0014438876,0.0,0.0
Z2,2010,BOTH,TETRACYCLINES,18.256630648999998,43397.0,25424.0,1385145.3792,0.1174374925,-12.58744908,19.734869106
