"strain","antibiogram","onset","time_period","Est.","CI(95%).l","CI(95%).u","p_values"
"CC30","S-S-S-S","Community-onset","2006-2016",4.7,1,8.5,0.0118
"CC30","S-S-S-S","Community-onset","2017-2022",-12.8,-18.1,-7.1,0
"CC15","S-S-S-S","Community-onset","2006-2019",7,4.1,9.9,0
"CC15","S-S-S-S","Community-onset","2020-2022",-34.4,-51,-12.1,0.0011
"CC97","S-S-S-S","Community-onset","2006-2015",22.1,13.5,31.4,0
"CC97","S-S-S-S","Community-onset","2016-2022",-9.9,-17.4,-1.6,0
"CC5","S-S-S-S","Community-onset","2006-2019",8.4,4.8,12.1,0
"CC5","S-S-S-S","Community-onset","2020-2022",-28.1,-47.1,-2.3,0.0091
"CC5","R-R-R-R","Community-onset","2006-2022",-13,-16.6,-9.2,0
"CC8","S-S-S-S","Community-onset","2006-2019",11.7,6.7,17,0
"CC8","S-S-S-S","Community-onset","2020-2022",-50.4,-70.7,-16.2,0.0025
"CC8","R-R-R-S","Community-onset","2006-2022",-3,-6,0.1,0.0576
"CC45","S-S-S-S","Community-onset","2006-2018",7.6,4,11.4,0
"CC45","S-S-S-S","Community-onset","2019-2022",-13.4,-28,4.1,0.0225
"CC45","S-S-R-R","Community-onset","2006-2017",6.9,-0.5,14.9,0.0689
"CC45","S-S-R-R","Community-onset","2018-2022",-27.5,-46.2,-2.1,0.0136
